v1_adventurer_(bigan_novelty)_timesteps,v1_adventurer_(bigan_novelty)_score,v1_adventurer_(bigan_novelty)_score_mean,v2_latent_discrepancy_timesteps,v2_latent_discrepancy_score,v2_latent_discrepancy_score_mean,v3_latent_plus_clamped_eme_timesteps,v3_latent_plus_clamped_eme_score,v3_latent_plus_clamped_eme_score_mean,v4_latent_plus_normalised_eme_timesteps,v4_latent_plus_normalised_eme_score,v4_latent_plus_normalised_eme_score_mean
12288.0,0.08905605908754903,0.08905605908754903,12288.0,-0.13396566627974002,-0.13396566627974002,12288.0,-0.13396566627974002,-0.13396566627974002,12288.0,-0.09275557449048695,-0.09275557449048695
24576.0,-1.5519305784255266,-0.7314372596689888,24576.0,-1.3660605506350596,-0.7500131084573998,24576.0,-1.3660605506350596,-0.7500131084573998,24576.0,-0.9329848196357489,-0.5128701970631179
36864.0,-1.548247454687953,-1.00370732467531,36864.0,-0.8212526403367519,-0.7737596190838505,36864.0,-0.8212526403367519,-0.7737596190838505,36864.0,-0.786940016473333,-0.6042268035331896
49152.0,-1.551298430810372,-1.1406051012090757,49152.0,-0.6720112282782793,-0.7483225213824577,49152.0,-0.6720112282782793,-0.7483225213824577,49152.0,-0.5721089070041975,-0.5961973294009416
61440.0,-1.6775943736235301,-1.2480029556919665,61440.0,-0.58872106919686,-0.7164022309453382,61440.0,-0.58872106919686,-0.7164022309453382,61440.0,-0.5271654427051544,-0.5823909520617842
73728.0,-1.7167283470431964,-1.326123854250505,73728.0,-0.5153041143591205,-0.6828858781809686,73728.0,-0.5153041143591205,-0.6828858781809686,73728.0,-0.46913708249727887,-0.5635153071343666
86016.0,-1.6673756080369155,-1.3748741047914206,86016.0,-0.4653608373676737,-0.6518108723504978,86016.0,-0.4653608373676737,-0.6518108723504978,86016.0,-0.42490202747285366,-0.5437134100398647
98304.0,-1.6522642051180203,-1.4095478673322457,98304.0,-0.42904870429386693,-0.6239656013434189,98304.0,-0.42904870429386693,-0.6239656013434189,98304.0,-0.40000306876997155,-0.525749617381128
110592.0,-1.5957150260607402,-1.4302331071909673,110592.0,-0.40936583187431097,-0.6001211825135181,110592.0,-0.40936583187431097,-0.6001211825135181,110592.0,-0.37746373377740383,-0.5092734080918253
122880.0,-1.3958881304909785,-1.4267986095209684,122880.0,-0.38178332646687824,-0.578287396908854,122880.0,-0.38178332646687824,-0.578287396908854,122880.0,-0.3498558403613667,-0.4933316513187795
135168.0,-1.6884478454788525,-1.6045489999776088,135168.0,-0.3647235656778018,-0.6013631868486603,135168.0,-0.3647235656778018,-0.6013631868486603,135168.0,-0.33452229217315715,-0.5175083230870466
147456.0,-1.9252218008041382,-1.64187812221547,147456.0,-0.34698123919467133,-0.4994552557046215,147456.0,-0.34698123919467133,-0.4994552557046215,147456.0,-0.3212790531106293,-0.4563377464345346
159744.0,-2.0925652608275414,-1.6963099028294284,159744.0,-0.32934668892994523,-0.4502646605639408,159744.0,-0.32934668892994523,-0.4502646605639408,159744.0,-0.3052010514462988,-0.4081638499318312
172032.0,-2.1475261015196643,-1.7559326699003577,172032.0,-0.3161953892558813,-0.41468307666170096,172032.0,-0.3161953892558813,-0.41468307666170096,172032.0,-0.29490016323203844,-0.38044297555461526
184320.0,-2.1390961284438768,-1.8020828453823925,184320.0,-0.3033788160731395,-0.38614885134932897,184320.0,-0.3033788160731395,-0.38614885134932897,184320.0,-0.28002112250154215,-0.35572854353425404
196608.0,-2.1009602211415768,-1.8405060327922307,196608.0,-0.29106946165362996,-0.3637253860787799,196608.0,-0.2873278351811071,-0.36335122343152765,196608.0,-0.27515496251483756,-0.33633033153600994
208896.0,-2.0196357841293016,-1.875732050401469,208896.0,-0.2820690958760679,-0.3453962119296193,208896.0,-0.28233895683661103,-0.34504903537842135,208896.0,-0.26114662100250524,-0.3199547908889751
221184.0,-1.8769798738261063,-1.8982036172722776,221184.0,-0.2728426217411955,-0.32977560367435216,221184.0,-0.27333760680630803,-0.32947792562966544,221184.0,-0.25961042831962305,-0.30591552684394024
233472.0,-1.8448754474520683,-1.9231196594114102,233472.0,-0.2657300781769057,-0.3154120283046117,233472.0,-0.2652714173309505,-0.3150684841753294,233472.0,-0.24963087448850274,-0.29313224091505014
245760.0,-1.8872601961096127,-1.9722568659732738,245760.0,-0.25823826358343166,-0.303057522016267,245760.0,-0.25832509777198237,-0.3027226613058398,245760.0,-0.24489471207683286,-0.2826361280865967
258048.0,-1.9452262843648593,-1.9979347098618745,258048.0,-0.2526982738636434,-0.29185499283485117,258048.0,-0.2512312149628997,-0.2913734262343496,258048.0,-0.2367249191738665,-0.2728563907866677
270336.0,-1.976714118073384,-2.003083941588799,270336.0,-0.24499790060023466,-0.2816566589754074,270336.0,-0.24371239449828863,-0.28104654176471133,270336.0,-0.23389688848207393,-0.2641181743238121
282624.0,-1.9863953031599522,-1.9924669458220403,282624.0,-0.23635752219706774,-0.27235774230211973,282624.0,-0.2408793579476575,-0.2721998086664825,282624.0,-0.22636346767346063,-0.2562344159465283
294912.0,-1.9662067852914333,-1.974335014199217,294912.0,-0.23021761033063134,-0.26375996440959476,294912.0,-0.2224813769571483,-0.26282840743660923,294912.0,-0.2212891960516572,-0.24887331922849015
307200.0,-1.926668566962083,-1.9530922580510375,307200.0,-0.2236031237989664,-0.2557823951821775,307200.0,-0.22685279805834094,-0.25517580563512937,307200.0,-0.21649644120285907,-0.24252085109862187
319488.0,-1.8875923566520214,-1.9317554716020822,319488.0,-0.21552088701476654,-0.24822753771829106,319488.0,-0.2189326761290431,-0.248336289729923,319488.0,-0.21405699398989478,-0.2364110542461276
331776.0,-1.8543958105146885,-1.915231474240621,331776.0,-0.2104796951947113,-0.24106859765015548,331776.0,-0.21602944067368904,-0.2417053381136308,331776.0,-0.2063147850955526,-0.2309278706554323
344064.0,-1.8055654702087243,-1.9080900338788827,344064.0,-0.20833242948477468,-0.23461757842451333,344064.0,-0.20440237363800406,-0.2348118147968004,344064.0,-0.20351821773995957,-0.225318649597466
356352.0,-1.7653834410011768,-1.9001408332337935,356352.0,-0.1935065417395284,-0.22739522478077565,356352.0,-0.20051464531570673,-0.22833613759527602,356352.0,-0.2017786012341579,-0.22053342227203152
368640.0,-1.7291235749920209,-1.8843271711220342,368640.0,-0.18557559326291084,-0.22012895774872354,368640.0,-0.19936366736268005,-0.22243999455434582,368640.0,-0.19667716464027762,-0.21571166752837598
380928.0,-1.6576890796422958,-1.8555734506497779,380928.0,-0.18048592998335758,-0.21290772336069494,380928.0,-0.19990255388741693,-0.2173071284467975,380928.0,-0.19472307929148278,-0.21151148354013763
393216.0,-1.5860175689061482,-1.8165037957330543,393216.0,-0.1808027356552581,-0.2064882068661973,393216.0,-0.1986623591122528,-0.21280212490819395,393216.0,-0.19266038745020828,-0.20738783343695105
405504.0,-1.515018882850806,-1.76936615370214,405504.0,-0.1785122069219748,-0.200703675338688,405504.0,-0.19584942826380333,-0.2082991319398085,405504.0,-0.18962869669000307,-0.2037143563386053
417792.0,-1.4761568990846474,-1.7203611650814612,417792.0,-0.17478779268761477,-0.19516069357438634,417792.0,-0.19238712328175703,-0.20528970657226936,417792.0,-0.18673377685869733,-0.2002588144193093
430080.0,-1.4506597593426704,-1.67276028431952,430080.0,-0.17256451087693372,-0.1900568322821831,430080.0,-0.18953546648845077,-0.20155797341528042,430080.0,-0.1836174294973413,-0.19697091324875754
442368.0,-1.436857885370652,-1.627686837191383,442368.0,-0.16994210107562444,-0.18549895368826885,442368.0,-0.18640059450020394,-0.19830476525239646,442368.0,-0.18104061484336853,-0.1936692753341049
454656.0,-1.4205375326176484,-1.584301009401679,454656.0,-0.16767684331474206,-0.1812186685002719,454656.0,-0.18355722508082786,-0.19505754369311035,454656.0,-0.17865416004012027,-0.19090321282856165
466944.0,-1.3803396423657734,-1.541778426617384,466944.0,-0.16618027056877813,-0.17700345260867228,466944.0,-0.1805885935512682,-0.19267616568443677,466944.0,-0.17618103496109447,-0.18816949455067516
479232.0,-1.2653475385159254,-1.4917748363688588,479232.0,-0.16489547219437858,-0.1741423456541573,479232.0,-0.178677789401263,-0.19049248009299238,479232.0,-0.1738076239513854,-0.18537239682239792
491520.0,-1.2903987715641658,-1.4479023560260733,491520.0,-0.1633391798629115,-0.17191870431415737,491520.0,-0.17602932561809817,-0.18815904591853422,491520.0,-0.171526534948498,-0.18285733385321995
503808.0,-1.3681801470617454,-1.418951462768018,503808.0,-0.16370851166235903,-0.1702409624820575,503808.0,-0.17408316597963372,-0.18557710712775588,503808.0,-0.1693292654429873,-0.1803179524683704
516096.0,-1.455239124596119,-1.4058736183370153,516096.0,-0.16337333068562052,-0.16849802198509375,516096.0,-0.1717774405454596,-0.18288861527107655,516096.0,-0.16720658858927587,-0.17777257258227713
528384.0,-1.5462553116182487,-1.4089972612137596,528384.0,-0.1629876421454052,-0.1669455655074368,528384.0,-0.16998977027833462,-0.1803026494725297,528384.0,-0.16515837733944258,-0.1753255406472211
540672.0,-1.606133750329415,-1.4219949463382364,540672.0,-0.16343458369374275,-0.1658102446080496,540672.0,-0.16763625177554786,-0.17782756232190877,540672.0,-0.16305765571693578,-0.17295792853304495
552960.0,-1.642164457589388,-1.4411454161629078,552960.0,-0.1636061551204572,-0.16491440903240193,552960.0,-0.1652143259998411,-0.17539544827304782,552960.0,-0.16090739440793791,-0.17068692502410462
565248.0,-1.6596145344277222,-1.4634210810686152,565248.0,-0.1636917022212098,-0.16428936914696052,565248.0,-0.16400957107543945,-0.17315634593057133,565248.0,-0.15708281029947102,-0.16829114456971486
577536.0,-1.6661829265455406,-1.4879856204614044,577536.0,-0.16448770936888954,-0.1639704557523752,577536.0,-0.16187427658587694,-0.17098805108107626,577536.0,-0.15705552184954286,-0.1661312807506571
589824.0,-1.6681093188623588,-1.5167625881110627,589824.0,-0.16470681293867528,-0.16382310998936495,589824.0,-0.1601526796196898,-0.1689444596879184,589824.0,-0.15439985475192466,-0.16395316272974014
602112.0,-1.6657972087462742,-1.5568075551340979,602112.0,-0.16396735492162406,-0.16373029826208949,602112.0,-0.15825739883196852,-0.16690242063098898,602112.0,-0.15323658341852328,-0.1618960586764539
614400.0,-1.6590091722706954,-1.5936685952047507,614400.0,-0.1627223708977302,-0.16366861736557137,614400.0,-0.15622504171915352,-0.16492199224109452,614400.0,-0.15176299509281913,-0.15991970469088604
626688.0,-1.6500207496186097,-1.621852655460437,626688.0,-0.16140360455028713,-0.16343812665436414,626688.0,-0.15493538378116986,-0.16300721402124813,626688.0,-0.14838307125804326,-0.15782508527239164
638976.0,-1.6430181004106998,-1.6406305530418954,638976.0,-0.16037731935891011,-0.16313852552169314,638976.0,-0.15299681884547076,-0.16112915185124924,638976.0,-0.14798698582065603,-0.15590312499552963
651264.0,-1.634482021133105,-1.649453223993381,651264.0,-0.15871487697586417,-0.16271124900473904,651264.0,-0.15206625560919443,-0.15933680038433523,651264.0,-0.14556663033242026,-0.1539439502948274
663552.0,-1.6227291623751323,-1.6511127651979525,663552.0,-0.15701588864127794,-0.16206937949949257,663552.0,-0.15003487879099944,-0.15757666308588042,663552.0,-0.14515501152103147,-0.15215368587523698
675840.0,-1.6114009643594425,-1.648036415874958,675840.0,-0.15583423183610043,-0.16129218717105687,675840.0,-0.1494872133092334,-0.1560039518168196,675840.0,-0.14190808784527084,-0.15025375521897028
688128.0,-1.600772502521674,-1.642152212684353,688128.0,-0.15509420509139696,-0.1604324374580756,688128.0,-0.14771616140690944,-0.1543746108499666,688128.0,-0.14068655110895634,-0.14861412929991882
700416.0,-1.5918926782906055,-1.6347231878588595,700416.0,-0.15345026110298932,-0.15932869263148558,700416.0,-0.1466214976583918,-0.1528493329572181,700416.0,-0.14117739318559566,-0.1470263164335241
712704.0,-1.5865552574396133,-1.6265677817165851,712704.0,-0.15224974524850646,-0.15808298586246866,712704.0,-0.14536092849448323,-0.15137015784469743,712704.0,-0.1419009210076183,-0.14577642305909347
724992.0,-1.5811555422842503,-1.618103615070383,724992.0,-0.1507967122209569,-0.15676592159240194,724992.0,-0.14404464901114503,-0.1499488828626151,724992.0,-0.13818969461135566,-0.1442717341783767
737280.0,-1.5762275258700054,-1.6098254504303138,737280.0,-0.14960203886342546,-0.15545388838897148,737280.0,-0.14343372530614337,-0.14866975122131407,737280.0,-0.13316249808607003,-0.14241168447770178
749568.0,-1.5694035316507022,-1.601763728633523,749568.0,-0.14846117693620423,-0.15415964562756318,749568.0,-0.1414629426629593,-0.147322507109493,749568.0,-0.1383039595093578,-0.14140377330283324
761856.0,-1.562405242274205,-1.5937024428198734,761856.0,-0.14771221205592155,-0.15289313489726436,761856.0,-0.14024152552398542,-0.1460469777773445,761856.0,-0.1374163281482955,-0.1403467075355972
774144.0,-1.5567987027267616,-1.585934110979239,774144.0,-0.1463919209005932,-0.15166083928973723,774144.0,-0.13827941574466726,-0.14466829379089177,774144.0,-0.13629218757463,-0.13941926325981813
786432.0,-1.5526386586328347,-1.5789250606050094,786432.0,-0.1454415643432488,-0.15050340685993432,786432.0,-0.1359876017086208,-0.1432635660826539,786432.0,-0.13519503370237848,-0.13842326547795286
798720.0,-1.5477885864675045,-1.5725638228158156,798720.0,-0.14414582261815667,-0.14933456593813993,798720.0,-0.13339516373040775,-0.14165436112477134,798720.0,-0.13412395888008177,-0.13764485258143394
811008.0,-1.540997142593066,-1.5665862868229548,811008.0,-0.14339752371112505,-0.14816489780011277,811008.0,-0.13197716767899692,-0.1400804617519801,811008.0,-0.1330779178533703,-0.13688398925587536
823296.0,-1.5068684617678325,-1.5580838651706774,823296.0,-0.14236848669437072,-0.1470567203592509,823296.0,-0.13033595766561726,-0.13845190775270264,823296.0,-0.13205599241579571,-0.13597184917889538
835584.0,-1.4859367236495018,-1.5480220117916663,835584.0,-0.1411983915604651,-0.14595158499044675,835584.0,-0.12940216452504197,-0.13685603135575852,835584.0,-0.13105726001473764,-0.13488748307960732
847872.0,-1.46650701140364,-1.5365571587036053,847872.0,-0.14031383115798235,-0.14490329688414932,847872.0,-0.1282277813491722,-0.13527434458956122,847872.0,-0.1300808269685755,-0.13407659631532928
860160.0,-1.45003521318237,-1.523937927434842,860160.0,-0.13921085473460457,-0.1438641784712672,860160.0,-0.12655095236065486,-0.13358606729501238,860160.0,-0.12912591422597566,-0.13367293792931983
872448.0,-1.4343841535349686,-1.5104359896232684,872448.0,-0.13767080668670437,-0.1427851414463172,872448.0,-0.12570559419691563,-0.132010332448408,872448.0,-0.12819173008513948,-0.132661714986898
884736.0,-1.4142398610711098,-1.495619451502959,884736.0,-0.13636856526136398,-0.1416507767668615,884736.0,-0.12499560493354996,-0.13048574038936445,884736.0,-0.1272775452428808,-0.13164783669635655
897024.0,-1.3944966693719227,-1.479389248167475,897024.0,-0.13531312819880745,-0.1405428974966829,897024.0,-0.12369219919977088,-0.12902701873487482,897024.0,-0.12638260245633623,-0.13065687818452715
909312.0,-1.3781074744959672,-1.4619361297537885,909312.0,-0.13450415207383534,-0.13944915626974155,909312.0,-0.12318258639425039,-0.12774651720343777,909312.0,-0.12550633074715734,-0.12968800788900503
