v1_adventurer_(bigan_novelty)_timesteps,v1_adventurer_(bigan_novelty)_score,v1_adventurer_(bigan_novelty)_score_mean,v2_latent_discrepancy_timesteps,v2_latent_discrepancy_score,v2_latent_discrepancy_score_mean,v3_latent_plus_clamped_eme_timesteps,v3_latent_plus_clamped_eme_score,v3_latent_plus_clamped_eme_score_mean,v4_latent_plus_normalised_eme_timesteps,v4_latent_plus_normalised_eme_score,v4_latent_plus_normalised_eme_score_mean
21205.0,0.0,0.0,21205.0,0.0,0.0,21205.0,0.0,0.0,21205.0,0.0,0.0
22277.0,0.0,0.0,22277.0,0.0,0.0,22277.0,0.0,0.0,22277.0,0.0,0.0
22634.0,0.0,0.0,22634.0,0.0,0.0,22634.0,0.0,0.0,22634.0,0.0,0.0
23438.0,0.0,0.0,23438.0,0.0,0.0,23438.0,0.0,0.0,26656.0,0.0,0.0
25087.0,0.0,0.0,25087.0,0.0,0.0,25087.0,0.0,0.0,28265.0,0.0,0.0
26192.0,0.0,0.0,26656.0,0.0,0.0,26656.0,0.0,0.0,29068.0,0.0,0.0
26656.0,0.0,0.0,27406.0,0.0,0.0,27406.0,0.0,0.0,29414.0,0.0,0.0
27406.0,0.0,0.0,27692.0,0.0,0.0,27692.0,0.0,0.0,29614.0,0.0,0.0
27675.0,0.0,0.0,29068.0,0.0,0.0,29068.0,0.0,0.0,30542.0,0.0,0.0
27692.0,0.0,0.0,29414.0,0.0,0.0,29414.0,0.0,0.0,30824.0,0.0,0.0
28265.0,0.0,0.0,30467.0,0.0,0.0,30467.0,0.0,0.0,30827.0,0.0,0.0
29932.0,0.0,0.0,30824.0,0.0,0.0,30824.0,0.0,0.0,31368.0,0.0,0.0
30043.0,0.0,0.0,30827.0,0.0,0.0,30827.0,0.0,0.0,31561.0,0.0,0.0
30824.0,0.0,0.0,31736.0,0.0,0.0,31736.0,0.0,0.0,31736.0,0.0,0.0
30827.0,0.0,0.0,32279.0,0.0,0.0,32279.0,0.0,0.0,32162.0,0.0,0.0
31238.0,0.0,0.0,32358.0,0.0,0.0,32358.0,0.0,0.0,32358.0,0.0,0.0
31736.0,0.0,0.0,32930.0,0.0,0.0,32930.0,0.0,0.0,33370.0,0.0,0.0
32279.0,0.0,0.0,33502.0,0.0,0.0,33502.0,0.0,0.0,33655.0,0.0,0.0
32358.0,0.0,0.0,33655.0,0.0,0.0,33655.0,0.0,0.0,33915.0,0.0,0.0
33169.0,0.0,0.0,33843.0,0.0,0.0,33843.0,0.0,0.0,35301.0,0.0,0.0
33370.0,0.0,0.0,33915.0,0.0,0.0,33915.0,0.0,0.0,36613.0,0.0,0.0
33843.0,0.0,0.0,35301.0,0.0,0.0,35301.0,0.0,0.0,36817.0,0.0,0.0
36525.0,0.0,0.0,36456.0,0.0,0.0,36456.0,0.0,0.0,37107.0,0.0,0.0
36611.0,0.0,0.0,36471.0,0.0,0.0,36471.0,0.0,0.0,37182.0,0.0,0.0
37182.0,0.0,0.0,37182.0,0.0,0.0,37182.0,0.0,0.0,37293.0,0.0,0.0
38352.0,0.0,0.0,37293.0,0.0,0.0,37293.0,0.0,0.0,37342.0,0.0,0.0
38404.0,0.0,0.0,37658.0,0.0,0.0,37658.0,0.0,0.0,38058.0,0.0,0.0
38720.0,0.0,0.0,38074.0,0.0,0.0,38074.0,0.0,0.0,38660.0,0.0,0.0
38896.0,0.0,0.0,38352.0,0.0,0.0,38352.0,0.0,0.0,38937.0,0.0,0.0
39231.0,0.0,0.0,39293.0,0.0,0.0,39293.0,0.0,0.0,39293.0,0.0,0.0
39293.0,0.0,0.0,39580.0,0.0,0.0,39580.0,0.0,0.0,39339.0,0.0,0.0
39768.0,0.0,0.0,39721.0,0.0,0.0,39721.0,0.0,0.0,40641.0,0.0,0.0
40321.0,0.0,0.0,40011.0,0.0,0.0,40011.0,0.0,0.0,40686.0,0.0,0.0
41317.0,0.0,0.0,40533.0,0.0,0.0,40533.0,0.0,0.0,40866.0,0.0,0.0
41522.0,0.0,0.0,40833.0,0.0,0.0,40833.0,0.0,0.0,41400.0,0.0,0.0
41628.0,0.0,0.0,41509.0,0.0,0.0,41509.0,0.0,0.0,42063.0,0.0,0.0
41847.0,0.0,0.0,41831.0,0.0,0.0,41831.0,0.0,0.0,42479.0,0.0,0.0
42063.0,0.0,0.0,42180.0,0.0,0.0,42180.0,0.0,0.0,42553.0,0.0,0.0
42312.0,0.0,0.0,42193.0,0.0,0.0,42193.0,0.0,0.0,42620.0,0.0,0.0
42389.0,0.0,0.0,42297.0,0.0,0.0,42297.0,0.0,0.0,43786.0,0.0,0.0
42434.0,0.0,0.0,42383.0,0.0,0.0,42383.0,0.0,0.0,44330.0,0.0,0.0
42828.0,0.0,0.0,42424.0,0.0,0.0,42424.0,0.0,0.0,44535.0,0.0,0.0
44311.0,0.0,0.0,43128.0,0.0,0.0,43128.0,0.0,0.0,44752.0,0.0,0.0
44362.0,0.0,0.0,43311.0,0.0,0.0,43311.0,0.0,0.0,45133.0,0.0,0.0
44583.0,0.0,0.0,43786.0,0.0,0.0,43786.0,0.0,0.0,45338.0,0.0,0.0
44687.0,0.0,0.0,44443.0,0.0,0.0,44443.0,0.0,0.0,46512.0,0.0,0.0
44964.0,0.0,0.0,44804.0,0.0,0.0,44804.0,0.0,0.0,47364.0,0.0,0.0
44994.0,0.0,0.0,45040.0,0.0,0.0,45040.0,0.0,0.0,47564.0,0.0,0.0
45177.0,0.0,0.0,45133.0,0.0,0.0,45133.0,0.0,0.0,47609.0,0.0,0.0
