v1_adventurer_(bigan_novelty)_timesteps,v1_adventurer_(bigan_novelty)_score,v1_adventurer_(bigan_novelty)_score_mean,v2_latent_discrepancy_timesteps,v2_latent_discrepancy_score,v2_latent_discrepancy_score_mean,v3_latent_plus_clamped_eme_timesteps,v3_latent_plus_clamped_eme_score,v3_latent_plus_clamped_eme_score_mean,v4_latent_plus_normalised_eme_timesteps,v4_latent_plus_normalised_eme_score,v4_latent_plus_normalised_eme_score_mean
19870.0,0.0,0.0,19870.0,0.0,0.0,19870.0,0.0,0.0,16860.0,0.0,0.0
20027.0,0.0,0.0,20027.0,0.0,0.0,20027.0,0.0,0.0,19870.0,0.0,0.0
20124.0,0.0,0.0,20124.0,0.0,0.0,20124.0,0.0,0.0,20315.0,0.0,0.0
20801.0,0.0,0.0,20801.0,0.0,0.0,20801.0,0.0,0.0,20897.0,0.0,0.0
22201.0,0.0,0.0,22201.0,0.0,0.0,22201.0,0.0,0.0,22201.0,0.0,0.0
23180.0,0.0,0.0,22929.0,0.0,0.0,22929.0,0.0,0.0,22929.0,0.0,0.0
23577.0,0.0,0.0,23006.0,0.0,0.0,23006.0,0.0,0.0,23180.0,0.0,0.0
24765.0,0.0,0.0,23039.0,0.0,0.0,23039.0,0.0,0.0,23577.0,0.0,0.0
24853.0,0.0,0.0,23180.0,0.0,0.0,23180.0,0.0,0.0,24352.0,0.0,0.0
25634.0,0.0,0.0,23577.0,0.0,0.0,23577.0,0.0,0.0,24386.0,0.0,0.0
26400.0,0.0,0.0,24130.0,0.0,0.0,24130.0,0.0,0.0,24765.0,0.0,0.0
26914.0,0.0,0.0,24352.0,0.0,0.0,24352.0,0.0,0.0,24830.0,0.0,0.0
28319.0,0.0,0.0,24765.0,0.0,0.0,24765.0,0.0,0.0,24853.0,0.0,0.0
28781.0,0.0,0.0,24853.0,0.0,0.0,24853.0,0.0,0.0,25378.0,0.0,0.0
29295.0,0.0,0.0,25634.0,0.0,0.0,25634.0,0.0,0.0,26400.0,0.0,0.0
29745.0,0.0,0.0,26400.0,0.0,0.0,26400.0,0.0,0.0,27142.0,0.0,0.0
29754.0,0.0,0.0,28479.0,0.0,0.0,28479.0,0.0,0.0,29610.0,0.0,0.0
30422.0,0.0,0.0,28781.0,0.0,0.0,28781.0,0.0,0.0,29648.0,0.0,0.0
30485.0,0.0,0.0,30422.0,0.0,0.0,30422.0,0.0,0.0,30029.0,0.0,0.0
30800.0,0.0,0.0,30485.0,0.0,0.0,30485.0,0.0,0.0,31132.0,0.0,0.0
31419.0,0.0,0.0,30800.0,0.0,0.0,30800.0,0.0,0.0,31363.0,0.0,0.0
32536.0,0.0,0.0,31419.0,0.0,0.0,31419.0,0.0,0.0,31419.0,0.0,0.0
33204.0,0.0,0.0,32536.0,0.0,0.0,32536.0,0.0,0.0,32170.0,0.0,0.0
33395.0,0.0,0.0,33204.0,0.0,0.0,33204.0,0.0,0.0,32345.0,0.0,0.0
34146.0,0.0,0.0,33226.0,0.0,0.0,33226.0,0.0,0.0,32634.0,0.0,0.0
34343.0,0.0,0.0,33546.0,0.0,0.0,33546.0,0.0,0.0,33395.0,0.0,0.0
35478.0,0.0,0.0,34146.0,0.0,0.0,34146.0,0.0,0.0,33492.0,0.0,0.0
35774.0,0.0,0.0,36261.0,0.0,0.0,36261.0,0.0,0.0,33770.0,0.0,0.0
35944.0,0.0,0.0,36281.0,0.0,0.0,36281.0,0.0,0.0,34050.0,0.0,0.0
36281.0,0.0,0.0,37128.0,0.0,0.0,37128.0,0.0,0.0,34584.0,0.0,0.0
37323.0,0.0,0.0,37323.0,0.0,0.0,37323.0,0.0,0.0,35419.0,0.0,0.0
37541.0,0.0,0.0,37932.0,0.0,0.0,37932.0,0.0,0.0,35655.0,0.0,0.0
38552.0,0.0,0.0,38163.0,0.0,0.0,38163.0,0.0,0.0,36261.0,0.0,0.0
39039.0,0.0,0.0,38320.0,0.0,0.0,38320.0,0.0,0.0,36758.0,0.0,0.0
39043.0,0.0,0.0,38440.0,0.0,0.0,38440.0,0.0,0.0,37172.0,0.0,0.0
40237.0,0.0,0.0,39619.0,0.0,0.0,39619.0,0.0,0.0,37878.0,0.0,0.0
40448.0,0.0,0.0,40137.0,0.0,0.0,40137.0,0.0,0.0,37932.0,0.0,0.0
40892.0,0.0,0.0,40193.0,0.0,0.0,40193.0,0.0,0.0,38440.0,0.0,0.0
41613.0,0.0,0.0,40237.0,0.0,0.0,40237.0,0.0,0.0,39039.0,0.0,0.0
42057.0,0.0,0.0,41108.0,0.0,0.0,41108.0,0.0,0.0,40160.0,0.0,0.0
42154.0,0.0,0.0,41642.0,0.0,0.0,41642.0,0.0,0.0,40425.0,0.0,0.0
42482.0,0.0,0.0,42053.0,0.0,0.0,42053.0,0.0,0.0,40760.0,0.0,0.0
42523.0,0.0,0.0,42152.0,0.0,0.0,42152.0,0.0,0.0,40892.0,0.0,0.0
42721.0,0.0,0.0,42268.0,0.0,0.0,42268.0,0.0,0.0,41447.0,0.0,0.0
43152.0,0.0,0.0,42419.0,0.0,0.0,42419.0,0.0,0.0,41701.0,0.0,0.0
44683.0,0.0,0.0,42523.0,0.0,0.0,42523.0,0.0,0.0,42781.0,0.0,0.0
