v1_adventurer_(bigan_novelty)_timesteps,v1_adventurer_(bigan_novelty)_score,v1_adventurer_(bigan_novelty)_score_mean,v2_latent_discrepancy_timesteps,v2_latent_discrepancy_score,v2_latent_discrepancy_score_mean,v3_latent_plus_clamped_eme_timesteps,v3_latent_plus_clamped_eme_score,v3_latent_plus_clamped_eme_score_mean,v4_latent_plus_normalised_eme_timesteps,v4_latent_plus_normalised_eme_score,v4_latent_plus_normalised_eme_score_mean
12288.0,0.10577342286705971,0.10577342286705971,12288.0,-0.10421432099731949,-0.10421432099731949,12288.0,-0.10421432099731949,-0.10421432099731949,12288.0,-0.02243071601454479,-0.02243071601454479
24576.0,0.07483894956142952,0.0903061862142446,24576.0,-1.4221213447550933,-0.7631678328762064,24576.0,-1.4221213447550933,-0.7631678328762064,24576.0,-0.938672224059701,-0.4805514700371229
36864.0,-2.218528162688017,-0.6793052634198425,36864.0,-0.8336125295609236,-0.7866493984377788,36864.0,-0.8336125295609236,-0.7866493984377788,36864.0,-0.5865441231677929,-0.5158823544140129
49152.0,-1.989251231153806,-1.0067917553533334,49152.0,-0.6681213692451516,-0.757017391139622,49152.0,-0.6681213692451516,-0.757017391139622,49152.0,-0.6122568864375353,-0.5399759874198935
61440.0,-1.9192178770899773,-1.1892769797006622,61440.0,-0.5871435636654496,-0.7230426256447875,61440.0,-0.5871435636654496,-0.7230426256447875,61440.0,-0.5282089812681079,-0.5376225861895364
73728.0,-1.8020358718931675,-1.2914034617327463,73728.0,-0.5238479860126972,-0.6898435190394391,73728.0,-0.5238479860126972,-0.6898435190394391,73728.0,-0.4674897914131482,-0.5259337870601384
86016.0,-1.7452620553473632,-1.3562404036776916,86016.0,-0.4759868551045656,-0.6592925670487428,86016.0,-0.4759868551045656,-0.6592925670487428,86016.0,-0.4177642560874422,-0.5104809969211818
98304.0,-1.8624683941404026,-1.4195189024855306,98304.0,-0.4381725030640761,-0.6316525590506596,98304.0,-0.4381725030640761,-0.6316525590506596,98304.0,-0.3787737723129491,-0.49401759384515265
110592.0,-1.873377403865258,-1.4699476248610557,110592.0,-0.41214471869170666,-0.607262799010776,110592.0,-0.41214471869170666,-0.607262799010776,110592.0,-0.36574659900118905,-0.47976526108471224
122880.0,-1.7558963745832443,-1.4985424998332746,122880.0,-0.38615806462864083,-0.5851523255725625,122880.0,-0.38615806462864083,-0.5851523255725625,122880.0,-0.349569911758105,-0.4667457261520515
135168.0,-1.7767592358092468,-1.6867957657009054,135168.0,-0.36511215784897405,-0.6112421092577278,135168.0,-0.36511215784897405,-0.6112421092577278,135168.0,-0.32544729315365356,-0.4970473838659625
147456.0,-1.8378064955274265,-1.878060310209791,147456.0,-0.33971985553701717,-0.5030019603359202,147456.0,-0.33971985553701717,-0.5030019603359202,147456.0,-0.31178699728722375,-0.43435886118871475
159744.0,-1.908516267935435,-1.8470591207345328,159744.0,-0.33026162907481194,-0.452666870287309,159744.0,-0.33026162907481194,-0.452666870287309,159744.0,-0.2995615480467677,-0.4056606036766121
172032.0,-1.9136582625408967,-1.8394998238732416,172032.0,-0.3185904591033856,-0.4177137792731325,172032.0,-0.318499487824738,-0.41770468214526774,172032.0,-0.28084356042866904,-0.3725192710757256
184320.0,-1.8849487490952015,-1.8360729110737641,184320.0,-0.30582222482189536,-0.38958164538877704,184320.0,-0.30033903988078237,-0.389024229766801,184320.0,-0.27671487381060916,-0.3473698603299757
196608.0,-1.8895826824009418,-1.8448275921245418,196608.0,-0.2944642681007584,-0.3666432735975832,196608.0,-0.28602486988529563,-0.3652419181540608,196608.0,-0.26795288765182096,-0.327416169953843
208896.0,-1.868193730711937,-1.8571207596609987,208896.0,-0.28506484907120466,-0.34755107299424715,208896.0,-0.2848446639254689,-0.34612769903615115,208896.0,-0.2571943181877335,-0.31135917616387215
221184.0,-1.8318454523881276,-1.8540584654857715,221184.0,-0.26786556498457986,-0.3305203791862975,221184.0,-0.2760705213683347,-0.329917500866577,221184.0,-0.250192993786186,-0.2985010983111958
233472.0,-1.7656536288559437,-1.8432860879848398,233472.0,-0.25818718612814945,-0.3151246259299417,233472.0,-0.259958493988961,-0.3146988783963024,233472.0,-0.23866136651486158,-0.285792575062563
245760.0,-1.73556179429094,-1.8412526299556098,245760.0,-0.25880445539951324,-0.30238926500702895,245760.0,-0.2608416407989959,-0.30216723601333795,245760.0,-0.23729538870975375,-0.2745651227577279
258048.0,-1.7593972347676754,-1.8395164298514526,258048.0,-0.25180677355577546,-0.2910587265777091,258048.0,-0.25382333854213357,-0.2910383540826539,258048.0,-0.23299030602599183,-0.2653194240449617
270336.0,-1.7691994806130726,-1.8326557283600171,270336.0,-0.24682523496448994,-0.2817692645204564,270336.0,-0.2428499849823614,-0.2813513670271884,270336.0,-0.2265655342489481,-0.25679727774113414
282624.0,-1.773355394601822,-1.8191396410266556,282624.0,-0.2397044215661784,-0.272713543769593,282624.0,-0.23525273070360223,-0.2718504771900674,282624.0,-0.22171558005114397,-0.2490126809415718
294912.0,-1.8019360974431038,-1.8079674245168764,294912.0,-0.23566822474822402,-0.2644213203340769,294912.0,-0.23465295555070043,-0.2634658239626636,294912.0,-0.215476107938836,-0.24247593569258846
307200.0,-1.8049213228126366,-1.79996468188862,307200.0,-0.22860243078321218,-0.2566993409302086,307200.0,-0.22163705558826527,-0.2555956255334119,307200.0,-0.20839532387132445,-0.23564398069865997
319488.0,-1.7848593878249328,-1.7894923524310191,319488.0,-0.2246930731150011,-0.24972222143163286,319488.0,-0.22099525931601724,-0.2490926644764841,319488.0,-0.20162015416038534,-0.22901070734951645
331776.0,-1.742837696025769,-1.7769567489624023,331776.0,-0.2214736814300219,-0.2433631046675145,331776.0,-0.21747866474712887,-0.24235606455865008,331776.0,-0.20518543059006333,-0.22380981858974947
344064.0,-1.684817060828209,-1.7622539098064103,344064.0,-0.2177728620978693,-0.23835383437884347,344064.0,-0.20835282932966948,-0.23558429535478354,344064.0,-0.20055598936354121,-0.21884611814748495
356352.0,-1.637725729495287,-1.7494611198703445,356352.0,-0.21398194786161184,-0.23393331055218974,356352.0,-0.21343750630815825,-0.23093219658670328,356352.0,-0.19516599643975496,-0.2144965811399743
368640.0,-1.5506110327939193,-1.7309660437206429,368640.0,-0.20959227361405888,-0.22901209237364434,368640.0,-0.2114386803780993,-0.2259919005446136,368640.0,-0.1939592674995462,-0.21016296901895354
380928.0,-1.404689583927393,-1.6954952786366142,380928.0,-0.20630862843245268,-0.22446227786131204,380928.0,-0.20818107590700188,-0.2214276742811004,380928.0,-0.18720963783562183,-0.20558490219991654
393216.0,-1.4140174699326356,-1.659977077568571,393216.0,-0.2036654851399362,-0.22014630287885667,393216.0,-0.20565369927013913,-0.2177080457098782,393216.0,-0.1881395202750961,-0.20174230080253133
405504.0,-1.4587348910669486,-1.6285150272150832,405504.0,-0.20057741397370896,-0.2162336021196097,405504.0,-0.20228456798940897,-0.2144112294384589,405504.0,-0.18512167098621526,-0.1980829098960385
417792.0,-1.503924135118723,-1.5987138309826454,417792.0,-0.19750577940916023,-0.2124173575857033,417792.0,-0.19089868012815714,-0.21003580189620452,417792.0,-0.18224455323070288,-0.19475975442522514
430080.0,-1.5429852182666461,-1.5725202205280462,430080.0,-0.19466959654043117,-0.20902407416142524,430080.0,-0.1870601394524177,-0.2065781102826198,430080.0,-0.17949757367993394,-0.19186997940608613
442368.0,-1.5798338986933231,-1.5520176716148852,442368.0,-0.1918103649901847,-0.2057358033489436,442368.0,-0.18377493089064956,-0.20285607744008302,442368.0,-0.17687108786776662,-0.18939507277682424
454656.0,-1.6011100175480049,-1.537844903767109,454656.0,-0.18913828767836094,-0.20250226397377746,454656.0,-0.1889765621162951,-0.20000586717699967,454656.0,-0.17435652669519186,-0.1863121823873371
466944.0,-1.5721251865228016,-1.5265757163365683,466944.0,-0.18654655199497938,-0.19937963296348848,466944.0,-0.169033023994416,-0.1960738866434743,466944.0,-0.1719464074509839,-0.18345122419608134
479232.0,-1.569853990028302,-1.5197885423898696,479232.0,-0.18404018568495908,-0.19638545674582322,479232.0,-0.1662770948993663,-0.1913578455025951,479232.0,-0.16963354016964635,-0.18089797856907047
491520.0,-1.5778871948520343,-1.5225161585956812,491520.0,-0.1816322224525114,-0.19358945162966848,491520.0,-0.1791250347159803,-0.1881264809363832,491520.0,-0.1674114246852696,-0.17824319428764282
503808.0,-1.5775767018397648,-1.5398048703869185,503808.0,-0.17934359842911363,-0.19089294862933454,503808.0,-0.16826897083471218,-0.18413527042915423,503808.0,-0.16527469572611153,-0.1760497000766918
516096.0,-1.5687866571048896,-1.555281789104144,516096.0,-0.17708596121519804,-0.18823499623686074,516096.0,-0.17396490400036177,-0.1809663909021765,516096.0,-0.1632175334574034,-0.17355750139492251
