v2_latent_discrepancy_timesteps,v2_latent_discrepancy_score,v2_latent_discrepancy_score_mean,v3_latent_plus_clamped_eme_timesteps,v3_latent_plus_clamped_eme_score,v3_latent_plus_clamped_eme_score_mean,v4_latent_plus_normalised_eme_timesteps,v4_latent_plus_normalised_eme_score,v4_latent_plus_normalised_eme_score_mean
12288.0,1.0,1.0,12288.0,1.0,1.0,12288.0,0.9457863016674916,0.9457863016674916
24576.0,1.0,1.0,24576.0,1.0,1.0,24576.0,0.9086985792964697,0.9272424404819806
36864.0,1.0,1.0,36864.0,1.0,1.0,36864.0,2.490080567697684,1.448188482887215
49152.0,1.0,1.0,49152.0,1.0,1.0,49152.0,0.37315286773567397,1.1794295790993297
61440.0,1.0,1.0,61440.0,1.0,1.0,61440.0,0.34595831638822955,1.0127353265571097
73728.0,1.0,1.0,73728.0,1.0,1.0,73728.0,0.957438021277388,1.0035191090104894
86016.0,1.0,1.0,86016.0,1.0,1.0,86016.0,0.960317263379693,0.9973474167775185
98304.0,1.0,1.0,98304.0,1.0,1.0,98304.0,2.404958976432681,1.1732988617344138
110592.0,1.0,1.0,110592.0,1.0,1.0,110592.0,1.6031309769799311,1.2210579856505825
122880.0,1.0,1.0,122880.0,1.0,1.0,122880.0,0.32370667237167555,1.1313228543226919
135168.0,1.0,1.0,135168.0,1.0,1.0,135168.0,2.2346614679942527,1.2602103709553678
147456.0,1.0,1.0,147456.0,1.0,1.0,147456.0,1.4324229136109352,1.3125828043868144
159744.0,1.0,1.0,159744.0,1.0,1.0,159744.0,1.1211928712824981,1.1756940347452958
172032.0,1.0,1.0,172032.0,1.040292203426361,1.0040292203426362,172032.0,2.2700457330793142,1.3653833212796598
184320.0,1.0,1.0,184320.0,3.3114950011173883,1.235178720454375,184320.0,1.264624501268069,1.4572499397676437
196608.0,1.0,1.0,196608.0,5.0,1.6351787204543746,196608.0,0.7866390813142061,1.4401700457713256
208896.0,1.0,1.0,208896.0,1.2162906359881163,1.6568077840531863,208896.0,1.3649928855399291,1.4806376079873493
221184.0,1.0,1.0,221184.0,1.0405457851787407,1.6608623625710606,221184.0,0.8160566749672095,1.321747377840802
233472.0,1.0,1.0,233472.0,1.00000809195141,1.6608631717662017,233472.0,2.127054320027431,1.374139712145552
245760.0,1.0,1.0,245760.0,1.0,1.6608631717662015,245760.0,0.7788424519822001,1.4196532901066046
258048.0,1.0,1.0,258048.0,1.1734189242124557,1.678205064187447,258048.0,0.353914690669626,1.231578612374142
270336.0,1.0,1.0,270336.0,1.9929160252213478,1.7774966667095817,270336.0,0.5486130559196075,1.143197626605009
282624.0,1.0,1.0,282624.0,3.182049483060837,1.9957016150156655,282624.0,0.4878483088687062,1.0798631703636299
294912.0,1.0,1.0,294912.0,1.4489677449067433,2.036569169163704,294912.0,0.6894500016545256,0.9218035972211511
307200.0,1.0,1.0,307200.0,4.047165686885516,2.110136237740517,307200.0,1.4167109945168097,0.937012246546025
319488.0,1.0,1.0,319488.0,4.70936098198096,2.0810723359386127,319488.0,2.3131091818213463,1.0896592565967391
331776.0,1.0,1.0,331776.0,5.0,2.459443272339801,331776.0,0.13468044146429747,0.9666280121891759
344064.0,1.0,1.0,344064.0,4.891945943236351,2.844583288145562,344064.0,0.539748791915675,0.9389972238840224
356352.0,1.0,1.0,356352.0,2.664538220812877,3.0110363010317087,356352.0,0.8787480623771747,0.8141665981189968
368640.0,1.0,1.0,368640.0,1.0,3.0110363010317087,368640.0,0.22205289585205415,0.7584876425059822
380928.0,1.0,1.0,380928.0,1.0,2.9936944086104633,380928.0,1.5735003078977268,0.8804462042287924
393216.0,1.0,1.0,393216.0,1.0,2.8944028060883285,393216.0,5.261905831055458e-07,0.8255849512558898
